Coaster_Name,Location,Manufacturer,Type_Main,Year_Introduced,Latitude,Longitude,Speed_mph,Height_ft,Inversions,Gforce,Opening_Date
Viper (Six Flags AstroWorld),Other,Anton Schwarzkopf,Steel,1989,38.57602633064874,-43.928590655618905,47,94,1,3.6202063257943315,1999-01-01
Corkscrew (Silverwood),Other,Arrow Development,Steel,1990,38.557331193514734,-42.966742003673744,46,90,2,3.6682533079507387,1999-01-01
Dragon (Adventureland),Adventureland (Iowa),Hopkins Rides,Steel,1990,41.6504,-93.5014,55,114,2,4.5,1990-05-12
Flashback (Six Flags New England),Other,Vekoma,Steel,1990,38.44531337247632,-41.34585009934267,47,93,3,5.2,1999-01-01
Iron Wolf (roller coaster),Other,Bolliger & Mabillard,Steel,1990,38.321444607606935,-42.46713054856525,55,114,2,3.962526388459146,1999-01-01
Pikajuna,Linnanmäki,Mack Rides,Steel,1990,60.1875,24.9381,23,23,0,2.8550878823572248,1990-01-01
Predator (roller coaster),Six Flags Darien Lake,Dinn Corporation,Wood,1990,42.9292,-78.3861,50,100,0,3.542954840311456,1990-05-25
Texas Giant,Six Flags Over Texas,Rocky Mountain Construction,Steel,1990,32.7564,-97.0731,65,141,0,4.2,2011-04-22
Thunder Looper,Other,Anton Schwarzkopf,Other,1990,38.478871288890716,-42.804385318196296,49,98,2,3.766844774380374,1999-01-01
Thunder Run (Kentucky Kingdom),Kentucky Kingdom,Dinn Corporation,Wood,1990,38.1956,-85.7475,53,108,0,3.609880043280455,1990-08-01
Tigre de Sibérie,Le Pal,Reverchon Industries,Steel,1990,39.16835426040966,-45.277245038203205,24,33,0,2.7432408541707147,1990-01-01
Twisted Cyclone,Six Flags Over Georgia,Rocky Mountain Construction,Steel,1990,33.7703,-84.5522,50,100,3,3.8431262711499343,2018-05-25
Vampire (roller coaster),Chessington World of Adventures,Arrow Dynamics,Steel,1990,51.3473,-0.3156,45,88,0,4.0,1990-04-11
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Arrow Dynamics,Steel,1990,34.4208,-118.5953,70,153,7,4.1,1990-04-07
Adventure Express,Kings Island,Arrow Dynamics,Steel,1991,39.3445,-84.2648,35,60,0,3.8,1991-04-13
